Case_ID,Player_ID,Activity,Timestamp,Category,Question_Value,Answer_Given,Result,Score_After_Play
1,1,Enter Player Name,2025-11-17 00:53:41,,0,,OK,Player1
2,2,Enter Player Name,2025-11-17 00:53:41,,0,,OK,Player2
3,-1,Select Player Count,2025-11-17 00:53:41,,2,,OK,
4,0,Start Game,2025-11-17 00:53:41,,0,,OK,
5,0,Load File,2025-11-17 00:53:41,,0,,OK,
6,0,Player Player1 selected category 'Variables & Data Types',2025-11-17 00:53:47,,0,,OK,
7,0,Player Player1 selected question value 100 in 'Variables & Data Types',2025-11-17 00:53:47,,0,,OK,
8,0,Player Player1 answered 'A' → CORRECT (Score now 100),2025-11-17 00:53:47,,0,,OK,
9,0,Player Player1 selected category 'Control Structures',2025-11-17 00:53:56,,0,,OK,
10,0,Player Player1 selected question value 200 in 'Control Structures',2025-11-17 00:53:56,,0,,OK,
11,0,Player Player1 answered 'B' → CORRECT (Score now 300),2025-11-17 00:53:56,,0,,OK,
12,0,Player Player1 selected category 'Control Structures',2025-11-17 00:54:22,,0,,OK,
13,0,Player Player1 selected question value 100 in 'Control Structures',2025-11-17 00:54:22,,0,,OK,
14,0,Player Player1 answered 'B' → INCORRECT (Score now 200),2025-11-17 00:54:22,,0,,OK,
15,0,Player Player2 selected category 'Functions',2025-11-17 00:54:33,,0,,OK,
16,0,Player Player2 selected question value 500 in 'Functions',2025-11-17 00:54:33,,0,,OK,
17,0,Player Player2 answered 'C' → INCORRECT (Score now -500),2025-11-17 00:54:33,,0,,OK,
18,0,Player Player1 selected category 'Functions',2025-11-17 00:54:42,,0,,OK,
19,0,Player Player1 selected question value 400 in 'Functions',2025-11-17 00:54:42,,0,,OK,
20,0,Player Player1 answered 'B' → CORRECT (Score now 600),2025-11-17 00:54:42,,0,,OK,
21,0,Player Player1 selected category 'Arrays',2025-11-17 00:54:58,,0,,OK,
22,0,Player Player1 selected question value 500 in 'Arrays',2025-11-17 00:54:58,,0,,OK,
23,0,Player Player1 answered 'D' → INCORRECT (Score now 100),2025-11-17 00:54:58,,0,,OK,
24,0,Player Player2 selected category 'Variables & Data Types',2025-11-17 00:55:09,,0,,OK,
25,0,Player Player2 selected question value 200 in 'Variables & Data Types',2025-11-17 00:55:09,,0,,OK,
26,0,Player Player2 answered 'A' → INCORRECT (Score now -700),2025-11-17 00:55:09,,0,,OK,
27,0,Player Player1 selected category 'Variables & Data Types',2025-11-17 00:55:13,,0,,OK,
28,0,Player Player1 selected question value 300 in 'Variables & Data Types',2025-11-17 00:55:13,,0,,OK,
29,0,Player Player1 answered 'B' → INCORRECT (Score now -200),2025-11-17 00:55:13,,0,,OK,
30,0,Player Player2 selected category 'Variables & Data Types',2025-11-17 00:55:17,,0,,OK,
31,0,Player Player2 selected question value 400 in 'Variables & Data Types',2025-11-17 00:55:17,,0,,OK,
